zip_code,year,month,eto_in,precip_in
95612,2014,11,1.61,0
95612,2014,12,1.11,0
95650,2014,1,1.98,0
95650,2014,2,2.01,0
95650,2014,3,3.81,0
95650,2014,4,5.05,0
95650,2014,5,7.25,0
95650,2014,6,8.4,0
95650,2014,7,8.72,0
95650,2014,8,7.39,0
95650,2014,9,5.86,0
95650,2014,10,4.08,0
95650,2014,11,1.73,0
95650,2014,12,1.14,0
92591,2014,1,2.95,0
92591,2014,2,2.87,0
92591,2014,3,4.36,0
92591,2014,4,5.58,0
92591,2014,5,7.0,0
92591,2014,6,7.29,0
92591,2014,7,7.61,0
92591,2014,8,6.74,0
92591,2014,9,5.83,0
92591,2014,10,4.34,0
92591,2014,11,3.15,0
92591,2014,12,1.94,0
92592,2014,1,2.92,0
92592,2014,2,2.88,0
92592,2014,3,4.42,0
92592,2014,4,5.68,0
92592,2014,5,7.09,0
92592,2014,6,7.45,0
92592,2014,7,7.74,0
92592,2014,8,6.94,0
92592,2014,9,5.9,0
92592,2014,10,4.42,0
92592,2014,11,3.13,0
92592,2014,12,1.93,0
94508,2014,1,1.73,0
94508,2014,2,1.61,0
94508,2014,3,3.19,0
94508,2014,4,4.41,0
94508,2014,5,6.34,0
94508,2014,6,6.94,0
94508,2014,7,7.06,0
94508,2014,8,5.94,0
94508,2014,9,4.69,0
94508,2014,10,3.35,0
94508,2014,11,1.44,0
94508,2014,12,0.98,0
95076,2014,1,1.95,0
95076,2014,2,1.78,0
95076,2014,3,3.25,0
95076,2014,4,4.21,0
95076,2014,5,5.61,0
95076,2014,6,5.33,0
95076,2014,7,5.51,0
95076,2014,8,5.0200000000000005,0
95076,2014,9,3.93,0
95076,2014,10,3.43,0
95076,2014,11,1.77,0
95076,2014,12,1.17,0
95240,2014,1,1.87,0
95240,2014,2,2.04,0
95240,2014,3,3.83,0
95240,2014,4,5.14,0
95240,2014,5,7.56,0
95240,2014,6,8.55,0
95240,2014,7,8.69,0
95240,2014,8,7.61,0
95240,2014,9,5.95,0
95240,2014,10,4.14,0
95240,2014,11,1.6800000000000002,0
95240,2014,12,1.19,0
95336,2014,1,1.84,0
95336,2014,2,2.02,0
95336,2014,3,3.82,0
95336,2014,4,5.15,0
95336,2014,5,7.62,0
95336,2014,6,8.44,0
95336,2014,7,8.6,0
95336,2014,8,7.42,0
95336,2014,9,5.82,0
95336,2014,10,4.07,0
95336,2014,11,1.64,0
95336,2014,12,1.18,0
95452,2014,1,1.69,0
95452,2014,2,1.6,0
95452,2014,3,3.18,0
95452,2014,4,4.32,0
95452,2014,5,6.15,0
95452,2014,6,6.66,0
95452,2014,7,6.72,0
95452,2014,8,5.75,0
95452,2014,9,4.5600000000000005,0
95452,2014,10,3.27,0
95452,2014,11,1.51,0
95452,2014,12,1.01,0
95632,2014,1,1.91,0
95632,2014,2,2.01,0
95632,2014,3,3.79,0
95632,2014,4,5.11,0
95632,2014,5,7.47,0
95632,2014,6,8.47,0
95632,2014,7,8.67,0
95632,2014,8,7.54,0
95632,2014,9,5.890000000000001,0
95632,2014,10,4.11,0
95632,2014,11,1.6700000000000002,0
95632,2014,12,1.18,0
95667,2014,1,1.95,0
95667,2014,2,1.99,0
95667,2014,3,3.5700000000000003,0
95667,2014,4,4.74,0
95667,2014,5,6.7,0
95667,2014,6,7.93,0
95667,2014,7,8.43,0
95667,2014,8,7.23,0
95667,2014,9,5.61,0
95667,2014,10,3.99,0
95667,2014,11,1.78,0
95667,2014,12,1.11,0
93261,2014,1,2.07,0
93261,2014,2,2.52,0
93261,2014,3,4.5,0
93261,2014,4,5.8,0
93261,2014,5,7.97,0
93261,2014,6,9.18,0
93261,2014,7,9.64,0
93261,2014,8,8.74,0
93261,2014,9,6.55,0
93261,2014,10,4.32,0
93261,2014,11,2.0,0
93261,2014,12,1.23,0
93427,2014,1,2.76,0
93427,2014,2,2.52,0
93427,2014,3,3.72,0
93427,2014,4,4.48,0
93427,2014,5,5.88,0
93427,2014,6,5.03,0
93427,2014,7,5.54,0
93427,2014,8,5.22,0
93427,2014,9,4.22,0
93427,2014,10,3.78,0
93427,2014,11,2.63,0
93427,2014,12,1.84,0
93615,2014,1,1.72,0
93615,2014,2,2.29,0
93615,2014,3,4.17,0
93615,2014,4,5.58,0
93615,2014,5,7.94,0
93615,2014,6,9.02,0
93615,2014,7,9.18,0
93615,2014,8,8.17,0
93615,2014,9,6.22,0
93615,2014,10,4.12,0
93615,2014,11,1.71,0
93615,2014,12,1.07,0
94954,2014,1,1.61,0
94954,2014,2,1.59,0
94954,2014,3,3.13,0
94954,2014,4,4.18,0
94954,2014,5,5.89,0
94954,2014,6,6.24,0
94954,2014,7,6.3,0
94954,2014,8,5.4,0
94954,2014,9,4.34,0
94954,2014,10,3.18,0
94954,2014,11,1.49,0
94954,2014,12,1.04,0
95441,2014,1,1.75,0
95441,2014,2,1.55,0
95441,2014,3,3.01,0
95441,2014,4,4.3,0
95441,2014,5,6.0,0
95441,2014,6,6.640000000000001,0
95441,2014,7,6.79,0
95441,2014,8,5.8,0
95441,2014,9,4.49,0
95441,2014,10,3.22,0
95441,2014,11,1.43,0
95441,2014,12,1.0,0
95453,2014,1,1.92,0
95453,2014,2,1.56,0
95453,2014,3,3.03,0
95453,2014,4,4.43,0
95453,2014,5,6.25,0
95453,2014,6,7.01,0
95453,2014,7,7.22,0
95453,2014,8,6.12,0
95453,2014,9,4.75,0
95453,2014,10,3.29,0
95453,2014,11,1.4,0
95453,2014,12,1.02,0
95468,2014,1,1.81,0
95468,2014,2,1.48,0
95468,2014,3,2.79,0
95468,2014,4,4.01,0
95468,2014,5,5.44,0
95468,2014,6,6.15,0
95468,2014,7,6.64,0
95468,2014,8,5.65,0
95468,2014,9,4.35,0
95468,2014,10,3.14,0
95468,2014,11,1.5,0
95468,2014,12,1.0,0
95492,2014,1,1.68,0
95492,2014,2,1.55,0
95492,2014,3,3.09,0
95492,2014,4,4.28,0
95492,2014,5,5.91,0
95492,2014,6,6.47,0
95492,2014,7,6.5200000000000005,0
95492,2014,8,5.55,0
95492,2014,9,4.390000000000001,0
95492,2014,10,3.23,0
95492,2014,11,1.47,0
95492,2014,12,1.02,0
95973,2014,1,2.21,0
95973,2014,2,1.81,0
95973,2014,3,3.46,0
95973,2014,4,4.94,0
95973,2014,5,7.3,0
95973,2014,6,8.200000000000001,0
95973,2014,7,8.23,0
95973,2014,8,6.8,0
95973,2014,9,5.45,0
95973,2014,10,3.38,0
95973,2014,11,1.3,0
95973,2014,12,0.96,0
92254,2014,1,2.87,0
92254,2014,2,3.41,0
92254,2014,3,5.7,0
92254,2014,4,7.14,0
92254,2014,5,9.07,0
92254,2014,6,10.18,0
92254,2014,7,9.93,0
92254,2014,8,8.3,0
92254,2014,9,7.03,0
92254,2014,10,5.3,0
92254,2014,11,3.4,0
92254,2014,12,2.04,0
93023,2014,1,2.8000000000000003,0
93023,2014,2,2.51,0
93023,2014,3,3.92,0
93023,2014,4,4.9,0
93023,2014,5,6.4,0
93023,2014,6,6.17,0
93023,2014,7,6.63,0
93023,2014,8,6.07,0
93023,2014,9,5.0200000000000005,0
93023,2014,10,3.83,0
93023,2014,11,2.63,0
93023,2014,12,1.6800000000000002,0
93234,2014,1,2.02,0
93234,2014,2,2.31,0
93234,2014,3,4.24,0
93234,2014,4,5.69,0
93234,2014,5,8.13,0
93234,2014,6,9.01,0
93234,2014,7,9.05,0
93234,2014,8,8.29,0
93234,2014,9,6.41,0
93234,2014,10,4.52,0
93234,2014,11,1.81,0
93234,2014,12,1.12,0
93280,2014,1,2.28,0
93280,2014,2,2.46,0
93280,2014,3,4.34,0
93280,2014,4,5.5600000000000005,0
93280,2014,5,7.73,0
93280,2014,6,8.66,0
93280,2014,7,9.04,0
93280,2014,8,8.27,0
93280,2014,9,6.26,0
93280,2014,10,4.3100000000000005,0
93280,2014,11,1.99,0
93280,2014,12,1.24,0
93307,2014,1,2.64,0
93307,2014,2,2.84,0
93307,2014,3,4.7,0
93307,2014,4,5.92,0
93307,2014,5,7.95,0
93307,2014,6,9.03,0
93307,2014,7,9.39,0
93307,2014,8,8.63,0
93307,2014,9,6.5200000000000005,0
93307,2014,10,4.56,0
93307,2014,11,2.41,0
93307,2014,12,1.51,0
93451,2014,1,2.27,0
93451,2014,2,2.24,0
93451,2014,3,3.9,0
93451,2014,4,5.12,0
93451,2014,5,7.07,0
93451,2014,6,7.54,0
93451,2014,7,7.67,0
93451,2014,8,7.14,0
93451,2014,9,5.55,0
93451,2014,10,4.33,0
93451,2014,11,1.97,0
93451,2014,12,1.24,0
93618,2014,1,1.73,0
93618,2014,2,2.28,0
93618,2014,3,4.14,0
93618,2014,4,5.58,0
93618,2014,5,7.94,0
93618,2014,6,9.0,0
93618,2014,7,9.18,0
93618,2014,8,8.16,0
93618,2014,9,6.19,0
93618,2014,10,4.13,0
93618,2014,11,1.6800000000000002,0
93618,2014,12,1.06,0
94550,2014,1,1.71,0
94550,2014,2,1.79,0
94550,2014,3,3.4,0
94550,2014,4,4.54,0
94550,2014,5,6.54,0
94550,2014,6,6.95,0
94550,2014,7,7.05,0
94550,2014,8,6.19,0
94550,2014,9,4.83,0
94550,2014,10,3.6,0
94550,2014,11,1.56,0
94550,2014,12,1.04,0
95669,2014,1,1.96,0
95669,2014,2,2.04,0
95669,2014,3,3.78,0
95669,2014,4,5.01,0
95669,2014,5,7.18,0
95669,2014,6,8.36,0
95669,2014,7,8.72,0
95669,2014,8,7.61,0
95669,2014,9,5.96,0
95669,2014,10,4.16,0
95669,2014,11,1.76,0
95669,2014,12,1.19,0
93203,2014,1,2.73,0
93203,2014,2,2.95,0
93203,2014,3,4.74,0
93203,2014,4,6.04,0
93203,2014,5,8.02,0
93203,2014,6,9.1,0
93203,2014,7,9.48,0
93203,2014,8,8.71,0
93203,2014,9,6.640000000000001,0
93203,2014,10,4.68,0
93203,2014,11,2.5700000000000003,0
93203,2014,12,1.59,0
93247,2014,1,1.78,0
93247,2014,2,2.39,0
93247,2014,3,4.34,0
93247,2014,4,5.75,0
93247,2014,5,7.93,0
93247,2014,6,9.2,0
93247,2014,7,9.66,0
93247,2014,8,8.62,0
93247,2014,9,6.49,0
93247,2014,10,4.16,0
93247,2014,11,1.85,0
93247,2014,12,1.15,0
93616,2014,1,1.69,0
93616,2014,2,2.23,0
93616,2014,3,4.08,0
93616,2014,4,5.54,0
93616,2014,5,8.03,0
93616,2014,6,9.04,0
93616,2014,7,9.1,0
93616,2014,8,8.040000000000001,0
93616,2014,9,6.22,0
93616,2014,10,4.11,0
93616,2014,11,1.64,0
93616,2014,12,1.02,0
93631,2014,1,1.73,0
93631,2014,2,2.23,0
93631,2014,3,4.15,0
93631,2014,4,5.5600000000000005,0
93631,2014,5,7.97,0
93631,2014,6,9.07,0
93631,2014,7,9.25,0
93631,2014,8,8.24,0
93631,2014,9,6.25,0
93631,2014,10,4.14,0
93631,2014,11,1.6800000000000002,0
93631,2014,12,1.03,0
95439,2014,1,1.66,0
95439,2014,2,1.55,0
95439,2014,3,3.13,0
95439,2014,4,4.2700000000000005,0
95439,2014,5,5.92,0
95439,2014,6,6.39,0
95439,2014,7,6.49,0
95439,2014,8,5.51,0
95439,2014,9,4.34,0
95439,2014,10,3.21,0
95439,2014,11,1.47,0
95439,2014,12,1.01,0
95449,2014,1,1.86,0
95449,2014,2,1.53,0
95449,2014,3,2.96,0
95449,2014,4,4.2700000000000005,0
95449,2014,5,5.98,0
95449,2014,6,6.75,0
95449,2014,7,6.98,0
95449,2014,8,6.02,0
95449,2014,9,4.6,0
95449,2014,10,3.19,0
95449,2014,11,1.41,0
95449,2014,12,1.0,0
95637,2014,1,1.87,0
95637,2014,2,1.6800000000000002,0
95637,2014,3,3.37,0
95637,2014,4,4.67,0
95637,2014,5,6.7700000000000005,0
95637,2014,6,7.51,0
95637,2014,7,7.61,0
95637,2014,8,6.44,0
95637,2014,9,5.05,0
95637,2014,10,3.48,0
95637,2014,11,1.44,0
95637,2014,12,1.02,0
95690,2014,1,1.83,0
95690,2014,2,1.9,0
95690,2014,3,3.74,0
95690,2014,4,5.0,0
95690,2014,5,7.36,0
95690,2014,6,8.15,0
95690,2014,7,8.29,0
95690,2014,8,7.2,0
95690,2014,9,5.65,0
95690,2014,10,3.95,0
95690,2014,11,1.62,0
95690,2014,12,1.11,0
96022,2014,1,2.51,0
96022,2014,2,1.76,0
96022,2014,3,3.3000000000000003,0
96022,2014,4,4.890000000000001,0
96022,2014,5,7.25,0
96022,2014,6,8.41,0
96022,2014,7,8.45,0
96022,2014,8,7.15,0
96022,2014,9,5.69,0
96022,2014,10,3.25,0
96022,2014,11,1.21,0
96022,2014,12,1.07,0
93263,2014,1,2.41,0
93263,2014,2,2.65,0
93263,2014,3,4.47,0
93263,2014,4,5.71,0
93263,2014,5,7.75,0
93263,2014,6,8.73,0
93263,2014,7,9.11,0
93263,2014,8,8.36,0
93263,2014,9,6.34,0
93263,2014,10,4.36,0
93263,2014,11,2.13,0
93263,2014,12,1.33,0
93428,2014,1,2.41,0
93428,2014,2,2.21,0
93428,2014,3,3.58,0
93428,2014,4,4.35,0
93428,2014,5,5.73,0
93428,2014,6,5.49,0
93428,2014,7,5.7,0
93428,2014,8,5.47,0
93428,2014,9,4.38,0
93428,2014,10,3.89,0
93428,2014,11,2.22,0
93428,2014,12,1.48,0
94020,2014,1,1.73,0
94020,2014,2,1.55,0
94020,2014,3,2.87,0
94020,2014,4,3.84,0
94020,2014,5,4.92,0
94020,2014,6,4.68,0
94020,2014,7,4.99,0
94020,2014,8,4.51,0
94020,2014,9,3.5,0
94020,2014,10,2.91,0
94020,2014,11,1.65,0
94020,2014,12,1.07,0
95023,2014,1,1.9,0
95023,2014,2,1.9,0
95023,2014,3,3.54,0
95023,2014,4,4.7,0
95023,2014,5,6.51,0
95023,2014,6,6.74,0
95023,2014,7,6.87,0
95023,2014,8,6.21,0
95023,2014,9,4.8,0
95023,2014,10,3.78,0
95023,2014,11,1.71,0
95023,2014,12,1.13,0
95423,2014,1,1.95,0
95423,2014,2,1.62,0
95423,2014,3,3.18,0
95423,2014,4,4.53,0
95423,2014,5,6.56,0
95423,2014,6,7.27,0
95423,2014,7,7.33,0
95423,2014,8,6.24,0
95423,2014,9,4.86,0
95423,2014,10,3.35,0
95423,2014,11,1.36,0
95423,2014,12,0.97,0
95436,2014,1,1.65,0
95436,2014,2,1.52,0
95436,2014,3,3.0,0
95436,2014,4,4.17,0
95436,2014,5,5.79,0
95436,2014,6,6.23,0
95436,2014,7,6.3,0
95436,2014,8,5.43,0
95436,2014,9,4.26,0
95436,2014,10,3.11,0
95436,2014,11,1.47,0
95436,2014,12,1.0,0
95457,2014,1,1.84,0
95457,2014,2,1.61,0
95457,2014,3,3.23,0
95457,2014,4,4.5200000000000005,0
95457,2014,5,6.5200000000000005,0
95457,2014,6,7.17,0
95457,2014,7,7.27,0
95457,2014,8,6.19,0
95457,2014,9,4.83,0
95457,2014,10,3.36,0
95457,2014,11,1.41,0
95457,2014,12,0.98,0
95615,2014,1,1.83,0
95615,2014,2,1.93,0
95615,2014,3,3.73,0
95615,2014,4,5.03,0
95615,2014,5,7.42,0
95615,2014,6,8.28,0
95615,2014,7,8.39,0
95615,2014,8,7.26,0
95615,2014,9,5.7,0
95615,2014,10,3.99,0
95615,2014,11,1.62,0
95615,2014,12,1.12,0
96096,2014,1,1.84,0
96096,2014,2,1.57,0
96096,2014,3,2.96,0
96096,2014,4,4.37,0
96096,2014,5,6.67,0
96096,2014,6,7.7,0
96096,2014,7,8.07,0
96096,2014,8,6.64,0
96096,2014,9,5.28,0
96096,2014,10,2.95,0
96096,2014,11,1.06,0
96096,2014,12,0.71,0
93218,2014,1,2.07,0
93218,2014,2,2.55,0
93218,2014,3,4.55,0
