year,county,annual_eto_in,annual_precip_in,water_deficit_in
2021,Mendocino,43.40664805325506,0.0,43.40664805325506
2022,Mendocino,46.16749680868674,0.0,46.16749680868674
2023,Mendocino,42.79942912230454,0.0,42.79942912230454
2024,Mendocino,45.347866376823696,0.0,45.347866376823696
2014,Merced,29.824740348728014,0.0,29.824740348728014
2016,Merced,39.68305169925402,0.0,39.68305169925402
2018,Merced,48.32874278965747,0.0,48.32874278965747
2019,Merced,48.61184009357681,0.0,48.61184009357681
2020,Merced,49.90398386776981,0.0,49.90398386776981
2021,Merced,46.098914444800464,0.0,46.098914444800464
2022,Merced,52.16366178022642,0.0,52.16366178022642
2023,Merced,46.467654561781295,0.0,46.467654561781295
2024,Merced,50.49352402109948,0.0,50.49352402109948
2020,Modoc,45.11,0.0,45.11
2016,Mono,54.6,0.0,54.6
2019,Mono,51.14,0.0,51.14
2020,Mono,53.77,0.0,53.77
2021,Mono,48.98,0.0,48.98
2022,Mono,54.5,0.0,54.5
2023,Mono,53.45,0.0,53.45
2024,Mono,54.37,0.0,54.37
2014,Monterey,36.90932090901817,0.0,36.90932090901817
2016,Monterey,47.0135506637865,0.0,47.0135506637865
2018,Monterey,48.92773049412551,0.0,48.92773049412551
2019,Monterey,48.48690635403198,0.0,48.48690635403198
2020,Monterey,40.336350474326274,0.0,40.336350474326274
2021,Monterey,29.25464060971571,0.0,29.25464060971571
2022,Monterey,32.06783341483342,0.0,32.06783341483342
2023,Monterey,47.136547638988745,0.0,47.136547638988745
2024,Monterey,43.25603713234759,0.0,43.25603713234759
2014,Napa,25.010253099075072,0.0,25.010253099075072
2016,Napa,37.52735682803661,0.0,37.52735682803661
2018,Napa,45.38071677839007,0.0,45.38071677839007
2019,Napa,39.61839743390925,0.0,39.61839743390925
2020,Napa,48.24157457065272,0.0,48.24157457065272
2021,Napa,43.67960386676666,0.0,43.67960386676666
2022,Napa,51.08543400714523,0.0,51.08543400714523
2023,Napa,45.47843134085219,0.0,45.47843134085219
2024,Napa,48.523373822447574,0.0,48.523373822447574
2014,Nevada,53.715180302437375,0.0,53.715180302437375
2016,Nevada,33.817657840163164,0.0,33.817657840163164
2018,Nevada,52.44659231242506,0.0,52.44659231242506
2019,Nevada,49.92120947566305,0.0,49.92120947566305
2020,Nevada,52.85815085984962,0.0,52.85815085984962
2021,Nevada,25.716446578816097,0.0,25.716446578816097
2022,Nevada,53.41776427856701,0.0,53.41776427856701
2023,Nevada,48.73306808370208,0.0,48.73306808370208
2024,Nevada,52.239471511950285,0.0,52.239471511950285
2014,Placer,47.94774465842615,0.0,47.94774465842615
2016,Placer,43.76882702729993,0.0,43.76882702729993
2018,Placer,55.25259550676037,0.0,55.25259550676037
2019,Placer,52.782188920105625,0.0,52.782188920105625
2020,Placer,55.293511794413504,0.0,55.293511794413504
2021,Placer,48.10006029941325,0.0,48.10006029941325
2022,Placer,57.304628966726746,0.0,57.304628966726746
2023,Placer,51.920892065481254,0.0,51.920892065481254
2024,Placer,55.57378590045979,0.0,55.57378590045979
2014,Riverside,35.72372780223694,0.0,35.72372780223694
2016,Riverside,44.26268270582882,0.0,44.26268270582882
2018,Riverside,69.60035063292864,0.0,69.60035063292864
2019,Riverside,69.08143835273748,0.0,69.08143835273748
2020,Riverside,69.52543996552913,0.0,69.52543996552913
2021,Riverside,63.639897148987416,0.0,63.639897148987416
2022,Riverside,73.29352266020028,0.0,73.29352266020028
2023,Riverside,21.18319374256104,0.0,21.18319374256104
2024,Riverside,68.34362047475547,0.0,68.34362047475547
2014,Sacramento,48.8813367699783,0.0,48.8813367699783
2016,Sacramento,39.23534436781044,0.0,39.23534436781044
2018,Sacramento,2.422556376638287,0.0,2.422556376638287
2019,Sacramento,18.47500805362069,0.0,18.47500805362069
2020,Sacramento,10.458053124422792,0.0,10.458053124422792
2021,Sacramento,10.59961651948726,0.0,10.59961651948726
2022,Sacramento,5.587180545949762,0.0,5.587180545949762
2023,Sacramento,13.807726708414805,0.0,13.807726708414805
2024,Sacramento,15.198398283024515,0.0,15.198398283024515
2014,San Benito,29.218118483900177,0.0,29.218118483900177
2016,San Benito,23.70716340003196,0.0,23.70716340003196
2018,San Benito,50.687688625250246,0.0,50.687688625250246
2019,San Benito,51.072512039961026,0.0,51.072512039961026
2020,San Benito,19.166981202935656,0.0,19.166981202935656
2021,San Benito,0.06407928895736512,0.0,0.06407928895736512
2022,San Benito,56.88849046066736,0.0,56.88849046066736
2023,San Benito,49.49124823070473,0.0,49.49124823070473
2024,San Benito,52.985647776580876,0.0,52.985647776580876
2014,San Bernardino,60.48227842605734,0.0,60.48227842605734
2016,San Bernardino,2.99303372969906,0.0,2.99303372969906
2018,San Bernardino,61.91183970073151,0.0,61.91183970073151
2019,San Bernardino,57.013789242575186,0.0,57.013789242575186
2020,San Bernardino,60.72987076249308,0.0,60.72987076249308
2022,San Bernardino,60.48231354709936,0.0,60.48231354709936
2023,San Bernardino,3.2141738701075755,0.0,3.2141738701075755
2024,San Bernardino,56.72158629436544,0.0,56.72158629436544
2014,San Diego,20.67816271001777,0.0,20.67816271001777
2016,San Diego,55.20614150346834,0.0,55.20614150346834
2018,San Diego,55.80304264987003,0.0,55.80304264987003
2019,San Diego,53.409655138394356,0.0,53.409655138394356
2020,San Diego,54.87050065900063,0.0,54.87050065900063
2021,San Diego,26.463693735692388,0.0,26.463693735692388
2022,San Diego,58.046459011572146,0.0,58.046459011572146
2023,San Diego,51.925518185971896,0.0,51.925518185971896
2024,San Diego,54.13209660287627,0.0,54.13209660287627
2014,San Joaquin,47.14847723767606,0.0,47.14847723767606
2016,San Joaquin,45.95175052986766,0.0,45.95175052986766
2018,San Joaquin,5.7844967926513995,0.0,5.7844967926513995
2019,San Joaquin,19.090777498091462,0.0,19.090777498091462
2020,San Joaquin,25.73040780937711,0.0,25.73040780937711
2021,San Joaquin,43.426870180992886,0.0,43.426870180992886
2022,San Joaquin,19.192054799783325,0.0,19.192054799783325
2023,San Joaquin,38.94804096933131,0.0,38.94804096933131
2024,San Joaquin,5.2070826547545135,0.0,5.2070826547545135
2014,San Luis Obispo,47.33364994435396,0.0,47.33364994435396
2016,San Luis Obispo,44.48553731220086,0.0,44.48553731220086
2018,San Luis Obispo,53.72475092996698,0.0,53.72475092996698
2019,San Luis Obispo,52.39987905055253,0.0,52.39987905055253
2020,San Luis Obispo,28.40393457816739,0.0,28.40393457816739
2021,San Luis Obispo,49.49329083975115,0.0,49.49329083975115
2022,San Luis Obispo,56.86261004253104,0.0,56.86261004253104
2023,San Luis Obispo,49.12038142904682,0.0,49.12038142904682
2024,San Luis Obispo,52.56450316883151,0.0,52.56450316883151
2014,San Mateo,34.18625858857143,0.0,34.18625858857143
2016,San Mateo,36.04956709615621,0.0,36.04956709615621
2018,San Mateo,36.88787026878542,0.0,36.88787026878542
2019,San Mateo,37.5022207636999,0.0,37.5022207636999
2020,San Mateo,27.50069889630327,0.0,27.50069889630327
2021,San Mateo,33.45871514706306,0.0,33.45871514706306
2022,San Mateo,36.13348375299946,0.0,36.13348375299946
2023,San Mateo,35.9371443308964,0.0,35.9371443308964
2024,San Mateo,36.38581633559713,0.0,36.38581633559713
2014,Santa Barbara,42.087945324627,0.0,42.087945324627
2016,Santa Barbara,39.06657998635666,0.0,39.06657998635666
2018,Santa Barbara,48.636114775733425,0.0,48.636114775733425
2019,Santa Barbara,46.91921982990117,0.0,46.91921982990117
2020,Santa Barbara,48.17522695619134,0.0,48.17522695619134
2021,Santa Barbara,43.418124637026544,0.0,43.418124637026544
2022,Santa Barbara,49.41706114419495,0.0,49.41706114419495
2023,Santa Barbara,20.92515785078141,0.0,20.92515785078141
2024,Santa Barbara,41.25595499259198,0.0,41.25595499259198
2014,Santa Clara,40.95840815801318,0.0,40.95840815801318
2016,Santa Clara,19.394540435191463,0.0,19.394540435191463
2018,Santa Clara,44.63594603981982,0.0,44.63594603981982
2019,Santa Clara,39.499041488961346,0.0,39.499041488961346
2020,Santa Clara,30.102396427011623,0.0,30.102396427011623
2021,Santa Clara,34.933279260794464,0.0,34.933279260794464
2022,Santa Clara,34.93689150130499,0.0,34.93689150130499
2023,Santa Clara,38.98300682499662,0.0,38.98300682499662
2024,Santa Clara,43.39655132879723,0.0,43.39655132879723
2014,Santa Cruz,22.72548008812549,0.0,22.72548008812549
2016,Santa Cruz,39.06887169012517,0.0,39.06887169012517
2018,Santa Cruz,39.887707390885986,0.0,39.887707390885986
2019,Santa Cruz,38.25505766188925,0.0,38.25505766188925
2020,Santa Cruz,39.825040700017524,0.0,39.825040700017524
2021,Santa Cruz,35.36932205393244,0.0,35.36932205393244
2022,Santa Cruz,16.056671288603543,0.0,16.056671288603543
2023,Santa Cruz,33.20484401364852,0.0,33.20484401364852
2024,Santa Cruz,39.01931341143717,0.0,39.01931341143717
2014,Shasta,41.943158414320116,0.0,41.943158414320116
2016,Shasta,32.238291340986436,0.0,32.238291340986436
2018,Shasta,49.114372202141254,0.0,49.114372202141254
2019,Shasta,46.626213859693884,0.0,46.626213859693884
2020,Shasta,48.96799278633151,0.0,48.96799278633151
2021,Shasta,45.13953452065002,0.0,45.13953452065002
2022,Shasta,6.152434682553559,0.0,6.152434682553559
2023,Shasta,45.99523913492854,0.0,45.99523913492854
2024,Shasta,47.7912191735876,0.0,47.7912191735876
2014,Siskiyou,47.660000000000004,0.0,47.660000000000004
2016,Siskiyou,45.04,0.0,45.04
2018,Siskiyou,45.06,0.0,45.06
2019,Siskiyou,43.51,0.0,43.51
2020,Siskiyou,46.76,0.0,46.76
2021,Siskiyou,43.67,0.0,43.67
2023,Siskiyou,42.01649726058954,0.0,42.01649726058954
2024,Siskiyou,43.78,0.0,43.78
2014,Solano,24.120560936538382,0.0,24.120560936538382
2016,Solano,23.30109880622108,0.0,23.30109880622108
2018,Solano,6.491378647336948,0.0,6.491378647336948
2019,Solano,20.49480514782543,0.0,20.49480514782543
2020,Solano,7.055003329942144,0.0,7.055003329942144
2021,Solano,1.8090391931540357,0.0,1.8090391931540357
2022,Solano,19.66350873951744,0.0,19.66350873951744
2023,Solano,6.000327095009938,0.0,6.000327095009938
2024,Solano,8.579158254149391,0.0,8.579158254149391
2014,Sonoma,36.62672536037812,0.0,36.62672536037812
2016,Sonoma,34.81489507573943,0.0,34.81489507573943
2018,Sonoma,42.68446083137617,0.0,42.68446083137617
2019,Sonoma,30.61344665571724,0.0,30.61344665571724
2020,Sonoma,45.521670341509804,0.0,45.521670341509804
2021,Sonoma,40.813940809775424,0.0,40.813940809775424
2022,Sonoma,45.83882225163121,0.0,45.83882225163121
2023,Sonoma,41.61827809940785,0.0,41.61827809940785
2024,Sonoma,44.46790686844501,0.0,44.46790686844501
