year,county,month,eto_in,precip_in
2022,Fresno,11,0.5306674125021915,0.0
2022,Fresno,12,0.21206144171509336,0.0
2023,Fresno,1,0.23159190027869575,0.0
2023,Fresno,2,0.35703552437792035,0.0
2023,Fresno,3,0.5154240861037195,0.0
2023,Fresno,4,0.9925091192994145,0.0
2023,Fresno,5,1.289073536202997,0.0
2023,Fresno,6,1.4000283525645298,0.0
2023,Fresno,7,1.7073360033541478,0.0
2023,Fresno,8,1.4492105948777643,0.0
2023,Fresno,9,1.0321475413534051,0.0
2023,Fresno,10,0.7154749582089728,0.0
2023,Fresno,11,0.4121417253719777,0.0
2023,Fresno,12,0.24546202018516397,0.0
2024,Fresno,1,0.4161672529374221,0.0
2024,Fresno,2,0.6586577233822003,0.0
2024,Fresno,3,1.2008410876687843,0.0
2024,Fresno,4,1.765664702020247,0.0
2024,Fresno,5,2.6041543378419667,0.0
2024,Fresno,6,3.07722053251787,0.0
2024,Fresno,7,3.3589712116460673,0.0
2024,Fresno,8,2.9187230781679188,0.0
2024,Fresno,9,2.2170992618283343,0.0
2024,Fresno,10,1.540964901751924,0.0
2024,Fresno,11,0.7158919152341884,0.0
2024,Fresno,12,0.36161207821890257,0.0
2014,Glenn,1,1.787570411310453,0.0
2014,Glenn,2,1.313317036881149,0.0
2014,Glenn,3,2.5463758103973393,0.0
2014,Glenn,4,3.648102880225414,0.0
2014,Glenn,5,5.311637793608203,0.0
2014,Glenn,6,5.98288872356968,0.0
2014,Glenn,7,5.968296312048777,0.0
2014,Glenn,8,4.9614199171065625,0.0
2014,Glenn,9,3.9691359336852505,0.0
2014,Glenn,10,2.5317833988764376,0.0
2014,Glenn,11,0.9558029546190585,0.0
2014,Glenn,12,0.8025826336495911,0.0
2016,Glenn,1,0.7129942459357141,0.0
2016,Glenn,2,1.5525949467572093,0.0
2016,Glenn,3,2.0590207663003333,0.0
2016,Glenn,4,3.5049997510484636,0.0
2016,Glenn,5,4.217993996984178,0.0
2016,Glenn,6,4.990959721549999,0.0
2016,Glenn,7,5.237509133695994,0.0
2016,Glenn,8,4.457879911504605,0.0
2016,Glenn,9,3.6049522154319753,0.0
2016,Glenn,10,1.925750813788985,0.0
2016,Glenn,11,0.8662546913237649,0.0
2016,Glenn,12,0.7463117340635513,0.0
2018,Glenn,1,0.93,0.0
2018,Glenn,2,2.83,0.0
2018,Glenn,3,3.18,0.0
2018,Glenn,4,4.46,0.0
2018,Glenn,5,6.61,0.0
2018,Glenn,6,7.99,0.0
2018,Glenn,7,7.63,0.0
2018,Glenn,8,6.12,0.0
2018,Glenn,9,5.07,0.0
2018,Glenn,10,4.13,0.0
2018,Glenn,11,2.27,0.0
2018,Glenn,12,1.28,0.0
2019,Glenn,1,1.19,0.0
2019,Glenn,2,1.58,0.0
2019,Glenn,3,2.94,0.0
2019,Glenn,4,4.71,0.0
2019,Glenn,5,5.64,0.0
2019,Glenn,6,7.8,0.0
2019,Glenn,7,7.27,0.0
2019,Glenn,8,6.55,0.0
2019,Glenn,9,5.12,0.0
2019,Glenn,10,4.49,0.0
2019,Glenn,11,2.11,0.0
2019,Glenn,12,1.17,0.0
